teamNum,matchesPlayed,rank,win,lose,tie
319,3,4,2,1,0
4909,3,16,1,2,0
509,3,8,2,1,0
501,3,14,1,2,0
4905,3,13,1,2,0
2084,3,5,2,1,0
3236,3,17,1,2,0
5813,3,3,3,0,0
1519,3,22,1,2,0
3467,3,7,2,1,0
1247,3,9,2,1,0
5459,3,20,1,2,0
2342,3,18,1,2,0
1729,3,10,2,1,0
238,3,19,1,2,0
1721,3,15,1,2,0
125,3,25,0,3,0
6153,3,24,0,3,0
58,3,23,1,2,0
5687,3,1,3,0,0
78,3,11,2,1,0
7314,3,6,2,1,0
1153,3,2,3,0,0
811,3,12,1,2,0
3323,3,21,1,2,0
